"","Amnt_hunting_fac","Education_fac","Gender","Years_Hunted"
"172","Increased","College_Degree","Male",1
"173","Decreased","College_Degree","Male",6
"174","Stayed about the same","High_School","Male",1
"175","Increased","College_Degree","Male",2
"176","Stayed about the same","Advanced_Degree","Male",2
"177","Decreased","College_Degree","Male",5
"178","Stayed about the same","College_Degree","Male",2
"179","Stayed about the same","College_Degree","Male",4
"180","Decreased","College_Degree","Male",1
"181","Decreased","Advanced_Degree","Male",15
"182","Stayed about the same","High_School","Male",1
"183","Stayed about the same","College_Degree","Female",2
"184","Stayed about the same","High_School","Male",13
"185","Increased","College_Degree","Male",4
"186","Increased","Advanced_Degree","Male",2
"187","Increased","College_Degree","Male",3
"188","Increased","High_School","Male",2
"189","Increased","College_Degree","Male",1
"190","Increased","College_Degree","Male",3
"191","Increased","High_School","Male",4
"192","Increased","High_School","Male",3
"193","Decreased","College_Degree","Male",3
"194","Increased","High_School","Male",12
"195","Decreased","College_Degree","Male",10
"196","Stayed about the same","College_Degree","Male",1
"197","Decreased","High_School","Male",42
"198","Decreased","College_Degree","Male",1
"199","Stayed about the same","High_School","Male",1
"200","Stayed about the same","College_Degree","Male",1
"201","Increased","Advanced_Degree","Male",1
"202","Increased","College_Degree","Male",2
"203","Stayed about the same","College_Degree","Male",1
"204","Stayed about the same","College_Degree","Male",20
"205","Stayed about the same","College_Degree","Male",30
"206","Increased","College_Degree","Male",6
"207","Decreased","High_School","Male",3
"208","Decreased","College_Degree","Male",30
"209","Decreased","College_Degree","Male",30
"210","Stayed about the same","Advanced_Degree","Male",3
"211","Stayed about the same","College_Degree","Male",5
"212","Stayed about the same","College_Degree","Male",15
"213","Decreased","High_School","Male",5
"214","Increased","College_Degree","Male",6
"215","Decreased","College_Degree","Male",4
"216","Decreased","College_Degree","Male",25
"217","Decreased","College_Degree","Male",5
"218","Stayed about the same","College_Degree","Male",36
"219","Stayed about the same","High_School","Male",8
"220","Increased","High_School","Male",99
"221","Decreased","High_School","Male",8
"222","Increased","High_School","Male",2
"223","Decreased","High_School","Male",18
"224","Stayed about the same","Advanced_Degree","Male",5
"225","Increased","High_School","Male",5
"226","Stayed about the same","High_School","Male",5
"227","Decreased","College_Degree","Male",20
"228","Stayed about the same","Advanced_Degree","Male",4
"229","Increased","Advanced_Degree","Male",4
"230","Decreased","High_School","Male",3
"231","Increased","High_School","Male",5
"232","Stayed about the same","High_School","Male",12
"233","Stayed about the same","College_Degree","Male",20
"234","Stayed about the same","High_School","Male",35
"235","Stayed about the same","High_School","Male",2
"236","Stayed about the same","High_School","Male",1
"237","Decreased","High_School","Female",14
"238","Decreased","College_Degree","Male",2
"239","Stayed about the same","High_School","Male",25
"240","Decreased","College_Degree","Male",1
"241","Stayed about the same","College_Degree","Male",5
"242","Decreased","High_School","Male",12
"243","Decreased","High_School","Male",33
"244","Decreased","College_Degree","Male",8
"245","Increased","High_School","Male",14
"246","Stayed about the same","College_Degree","Male",5
"247","Stayed about the same","High_School","Male",3
"248","Decreased","College_Degree","Male",9
"249","Increased","High_School","Male",15
"250","Decreased","College_Degree","Male",20
"251","Stayed about the same","College_Degree","Male",3
"252","Increased","College_Degree","Male",30
"253","Stayed about the same","College_Degree","Male",5
"254","Stayed about the same","High_School","Male",12
"255","Stayed about the same","High_School","Male",5
"256","Stayed about the same","College_Degree","Male",22
"257","Decreased","High_School","Male",2
"258","Stayed about the same","High_School","Male",10
"259","Stayed about the same","High_School","Male",5
"260","Decreased","College_Degree","Male",20
"261","Increased","High_School","Male",3
"262","Decreased","High_School","Male",3
"263","Increased","High_School","Male",6
"264",NA,"College_Degree","Male",3
"265","Decreased","Advanced_Degree","Male",2
"266","Stayed about the same","College_Degree","Male",4
"267","Decreased","High_School","Male",5
"268","Stayed about the same","Advanced_Degree","Male",15
"269","Increased","High_School","Male",3
"270","Decreased","Advanced_Degree","Male",10
"271","Stayed about the same","College_Degree","Male",16
"272","Stayed about the same","College_Degree","Male",5
"273","Increased","High_School","Male",47
"274","Decreased","College_Degree","Male",5
"275","Decreased","High_School","Male",2
"276","Increased","College_Degree","Male",1
"277","Stayed about the same","Advanced_Degree","Male",36
"278","Increased","College_Degree","Male",3
"279","Stayed about the same","College_Degree","Male",25
"280","Decreased","High_School","Male",65
"281","Increased","High_School","Male",4
"282","Increased","High_School","Male",15
"283","Decreased","High_School","Male",15
"284","Decreased","College_Degree","Male",10
"285","Stayed about the same","High_School","Male",20
"286","Stayed about the same","College_Degree","Male",43
"287","Stayed about the same","Advanced_Degree","Male",3
"288","Decreased","College_Degree","Male",1
"289","Increased","High_School","Male",2
"290","Stayed about the same","College_Degree","Male",1
"291","Decreased","College_Degree","Female",2
"292","Stayed about the same","High_School","Male",1
"293","Decreased","College_Degree","Male",2
"294","Decreased","College_Degree","Male",1
"295","Decreased","Advanced_Degree","Male",2
"296","Decreased","High_School","Male",1
"297","Stayed about the same","College_Degree","Male",5
"298","Decreased","Advanced_Degree","Male",1
"299","Stayed about the same","Advanced_Degree","Male",4
"300","Decreased","Advanced_Degree","Female",2
"301",NA,"High_School","Male",1
"302","Stayed about the same","Advanced_Degree","Male",2
"303","Decreased","High_School","Male",3
"304","Increased","Advanced_Degree","Male",5
"305","Increased","Advanced_Degree","Male",2
"306","Increased","High_School","Male",15
"307","Decreased","High_School","Male",1
"308","Stayed about the same","Advanced_Degree","Male",1
"309","Stayed about the same","Advanced_Degree","Male",2
"310","Increased","High_School","Male",2
"311","Decreased","High_School","Male",1
"312","Increased","Advanced_Degree","Male",1
"313","Stayed about the same","High_School","Male",7
"314","Stayed about the same","Advanced_Degree","Male",5
"315","Increased","College_Degree","Male",1
"316","Increased","College_Degree","Male",48
"317","Stayed about the same","College_Degree","Male",1
"318","Increased","College_Degree","Male",1
"319","Increased","Advanced_Degree","Male",13
"320","Stayed about the same","College_Degree","Male",1
"321","Decreased","Advanced_Degree","Male",1
"322","Decreased","Advanced_Degree","Female",4
"323","Increased","High_School","Male",1
"324","Stayed about the same","College_Degree","Male",8
"325","Increased","College_Degree","Male",15
"326","Increased","High_School","Male",1
"327","Stayed about the same","College_Degree","Male",4
"328","Stayed about the same","Advanced_Degree","Male",1
"329","Decreased","High_School","Male",15
"330","Decreased","College_Degree","Male",3
"331","Stayed about the same","Advanced_Degree","Male",30
"332","Stayed about the same","College_Degree","Male",20
"333","Increased","High_School","Male",7
"334","Stayed about the same","College_Degree","Male",3
"335","Stayed about the same","College_Degree","Male",7
"336","Stayed about the same","College_Degree","Female",7
"337","Decreased","College_Degree","Male",24
"338","Stayed about the same","High_School","Male",8
"339","Stayed about the same","Advanced_Degree","Male",1
"340","Stayed about the same","High_School","Male",7
"341","Stayed about the same","College_Degree","Male",5
"342","Stayed about the same","College_Degree","Male",10
"343","Increased","College_Degree","Male",5
"344",NA,"College_Degree","Male",1
"345","Stayed about the same","College_Degree","Male",5
"346","Stayed about the same","College_Degree","Male",4
"347","Stayed about the same","High_School","Male",2
"348","Stayed about the same","Advanced_Degree","Male",2
"349","Stayed about the same","Advanced_Degree","Male",1
"350","Increased","College_Degree","Male",3
"351","Decreased","College_Degree","Male",8
"352","Stayed about the same","College_Degree","Male",25
"353","Increased","College_Degree","Male",3
"354","Stayed about the same","Advanced_Degree","Male",2
"355","Stayed about the same","College_Degree","Male",10
"356","Increased","High_School","Male",50
"357","Stayed about the same","College_Degree","Male",1
"358","Increased","College_Degree","Male",32
"359","Stayed about the same","College_Degree","Male",12
"360","Stayed about the same","College_Degree","Male",2
"361","Stayed about the same","High_School","Male",40
"362","Increased","Advanced_Degree","Male",30
"363","Increased","College_Degree","Male",1
"364","Increased","College_Degree","Male",12
"365","Decreased","High_School","Male",6
"366","Decreased","College_Degree","Male",15
"367","Stayed about the same","College_Degree","Male",3
"368","Stayed about the same","College_Degree","Male",5
"369","Decreased","College_Degree","Male",1
"370","Increased","College_Degree","Male",30
"371","Stayed about the same","College_Degree","Male",5
"372","Increased","College_Degree","Female",5
"373","Decreased","College_Degree","Male",2
"374","Stayed about the same","College_Degree","Male",20
"375","Stayed about the same","Advanced_Degree","Male",3
"376","Stayed about the same","College_Degree","Male",1
"377","Stayed about the same","College_Degree","Male",10
"378","Stayed about the same","College_Degree","Male",1
"379","Decreased","High_School","Male",4
"380","Stayed about the same","College_Degree","Male",1
"381","Stayed about the same","College_Degree","Female",5
"382","Stayed about the same","High_School","Male",4
"383","Decreased","High_School","Male",2
"384","Decreased","High_School","Female",3
"385","Increased","High_School","Male",1
"386","Decreased","High_School","Male",1
"387","Increased","High_School","Male",2
"388","Increased","College_Degree","Male",6
"389","Decreased","Advanced_Degree","Male",3
"390","Increased","High_School","Male",1
"391","Stayed about the same","High_School","Male",2
"392","Stayed about the same","Advanced_Degree","Male",6
"393","Decreased","College_Degree","Male",1
"394","Stayed about the same","High_School","Male",2
"395","Decreased","College_Degree","Male",7
"396","Stayed about the same","High_School","Male",20
"397","Stayed about the same","High_School","Male",1
"398","Decreased","College_Degree","Male",8
"399","Increased","College_Degree","Male",3
"400","Increased","College_Degree","Male",4
"401","Decreased","Advanced_Degree","Male",1
"402","Decreased","High_School","Male",15
"403","Decreased","College_Degree","Male",20
"404","Decreased","High_School","Male",15
"405","Increased","Advanced_Degree","Male",1
"406","Decreased","High_School","Male",7
"407","Decreased","Advanced_Degree","Male",2
"408","Stayed about the same","College_Degree","Male",1
"409","Increased","High_School","Male",7
"410","Stayed about the same","High_School","Male",5
"411","Stayed about the same","College_Degree","Male",4
"412","Stayed about the same","High_School","Male",35
"413","Decreased","College_Degree","Male",7
"414","Decreased","High_School","Male",7
"415","Increased","High_School","Male",1
"416","Increased","Advanced_Degree","Male",5
"417","Increased","College_Degree","Male",1
"418","Stayed about the same","Advanced_Degree","Male",20
"419","Increased","College_Degree","Male",1
"420","Stayed about the same","High_School","Male",4
"421","Stayed about the same","College_Degree","Male",40
"422","Stayed about the same","High_School","Male",2
"423","Stayed about the same","College_Degree","Male",45
"424","Stayed about the same","High_School","Male",38
"425","Stayed about the same","High_School","Male",37
"426","Stayed about the same","Advanced_Degree","Male",19
"427","Stayed about the same","High_School","Male",2
"428","Stayed about the same","High_School","Male",30
"429","Stayed about the same","College_Degree","Male",35
"430","Stayed about the same","High_School","Male",2
"431","Stayed about the same","Advanced_Degree","Female",40
"432","Stayed about the same","Advanced_Degree","Male",40
"433","Decreased","Advanced_Degree","Male",10
"434","Stayed about the same","High_School","Male",20
"435","Increased","Advanced_Degree","Male",12
"436","Stayed about the same","High_School","Male",10
"437","Increased","High_School","Male",15
"438","Decreased","College_Degree","Male",44
"439","Stayed about the same","College_Degree","Male",11
"440","Increased","College_Degree","Male",5
"441","Decreased","High_School","Male",20
"442","Decreased","College_Degree","Male",3
"443","Increased","High_School","Male",12
"444","Decreased","College_Degree","Male",35
"445","Decreased","College_Degree","Male",2
"446","Stayed about the same","High_School","Male",7
"447","Decreased","Advanced_Degree","Male",20
"448","Stayed about the same","Advanced_Degree","Male",10
"449","Stayed about the same","High_School","Male",10
"450","Decreased","College_Degree","Male",10
"451","Increased","Advanced_Degree","Male",40
"452","Decreased","High_School","Male",2
"453","Stayed about the same","High_School","Male",5
"454","Decreased","College_Degree","Male",30
"455","Stayed about the same","College_Degree","Male",4
"456","Stayed about the same","College_Degree","Female",8
"457","Decreased","College_Degree","Male",2
"458","Increased","High_School","Male",12
"459","Decreased","College_Degree","Male",15
"460","Increased","High_School","Male",1
"461","Increased","Advanced_Degree","Male",2
"462","Stayed about the same","College_Degree","Male",18
"463","Increased","College_Degree","Male",10
"464","Stayed about the same","College_Degree","Male",1
"465","Stayed about the same","High_School","Male",20
"466","Stayed about the same","High_School","Male",25
"467","Stayed about the same","High_School","Male",35
"468","Decreased","College_Degree","Male",35
"469","Stayed about the same","College_Degree","Male",8
"470","Stayed about the same","High_School","Male",5
"471","Stayed about the same","College_Degree","Male",2
"472","Decreased","Advanced_Degree","Male",35
"473","Stayed about the same","Advanced_Degree","Male",4
"474","Decreased","College_Degree","Male",9
"475","Decreased","High_School","Male",17
"476","Increased","High_School","Male",11
"477","Stayed about the same","High_School","Male",2
"478","Stayed about the same",NA,"Male",30
"479","Stayed about the same","High_School","Male",44
"480","Decreased","College_Degree","Male",1
"481","Increased","College_Degree","Male",4
"482","Increased","College_Degree","Male",20
"483","Decreased","High_School","Male",35
"484","Decreased","High_School","Male",35
"485","Increased","College_Degree","Male",25
"486","Increased","High_School","Male",6
"487","Decreased","High_School","Male",1
"488","Increased","College_Degree","Male",5
"489","Increased","College_Degree","Male",35
"490","Stayed about the same","College_Degree","Male",1
"491","Increased","High_School","Male",30
"492","Decreased","High_School","Male",3
"493","Increased","College_Degree","Male",2
"494","Increased","College_Degree","Female",4
"495","Stayed about the same","Advanced_Degree","Male",2
"496","Stayed about the same","College_Degree","Male",10
"497","Stayed about the same","High_School","Male",4
"498","Stayed about the same","High_School","Male",1
"499","Increased","College_Degree","Male",5
"500","Stayed about the same","College_Degree","Male",22
"501","Stayed about the same","Advanced_Degree","Male",3
"502","Increased","College_Degree","Male",6
"503","Stayed about the same","High_School","Female",3
"504","Increased","College_Degree","Male",8
"505","Stayed about the same","College_Degree","Male",38
"506","Stayed about the same","High_School","Male",22
"507","Increased","College_Degree","Male",7
"508","Stayed about the same","High_School","Male",5
"509","Stayed about the same","High_School","Male",3
"510","Increased","High_School","Male",4
"511","Increased","High_School","Male",32
"512","Increased","Advanced_Degree","Male",4
"513","Decreased","College_Degree","Male",14
"514","Increased","High_School","Male",25
"515","Decreased","High_School","Male",15
"516","Stayed about the same","College_Degree","Male",6
"517","Decreased","College_Degree","Male",20
"518","Increased","College_Degree","Male",1
"519","Decreased","College_Degree","Male",4
"520","Increased","High_School","Male",20
"521","Increased","High_School","Male",8
"522","Decreased","College_Degree","Male",2
"523","Increased","College_Degree","Male",18
"524","Stayed about the same","High_School","Male",1
"525","Increased","Advanced_Degree","Female",1
"526","Stayed about the same","College_Degree","Male",2
"527","Increased","Advanced_Degree","Male",1
"528","Stayed about the same","High_School","Male",5
"529","Stayed about the same","College_Degree","Male",15
"530","Increased","Advanced_Degree","Male",1
"531","Decreased","High_School","Male",8
"532","Stayed about the same","College_Degree","Male",8
"533","Stayed about the same","Advanced_Degree","Male",10
"534","Increased","High_School","Male",2
"535","Increased","High_School","Male",3
"536","Increased","Advanced_Degree","Male",25
"537","Decreased","College_Degree","Male",35
"538","Stayed about the same","High_School","Male",10
"539","Decreased","College_Degree","Male",5
"540","Increased","College_Degree","Male",44
"541","Increased","High_School","Male",20
"542","Stayed about the same","High_School","Male",20
"543","Stayed about the same","Advanced_Degree","Male",5
"544","Stayed about the same","High_School","Male",2
"545","Stayed about the same","High_School","Male",5
"546","Stayed about the same","College_Degree","Male",1
"547","Stayed about the same","High_School","Male",2
"548","Decreased","Advanced_Degree","Male",44
"549","Decreased","College_Degree","Male",2
"550",NA,"College_Degree","Male",1
"551","Increased","High_School","Male",1
"552","Increased","College_Degree","Male",1
"553","Increased","College_Degree","Male",12
"554","Stayed about the same","College_Degree","Male",6
"555","Decreased","High_School","Male",10
"556","Stayed about the same","College_Degree","Male",2
"557","Stayed about the same","High_School","Male",1
"558","Stayed about the same","High_School","Male",3
"559","Stayed about the same","College_Degree","Male",4
"560","Increased","Advanced_Degree","Male",4
"561","Decreased","College_Degree","Male",3
"562","Stayed about the same","College_Degree","Male",2
"563","Increased","College_Degree","Male",8
"564","Stayed about the same","College_Degree","Male",15
"565","Stayed about the same","High_School","Male",4
"566","Decreased","High_School","Male",5
"567","Stayed about the same","High_School","Male",2
"568","Stayed about the same","College_Degree","Male",10
"569","Decreased","College_Degree","Male",25
"570","Stayed about the same","High_School","Male",3
"571","Decreased","High_School","Male",7
"572","Increased","College_Degree","Male",28
"573","Decreased","Advanced_Degree","Male",15
"574","Increased","College_Degree","Male",53
"575","Stayed about the same","High_School","Male",36
"576","Stayed about the same","High_School","Male",46
"577","Stayed about the same",NA,"Male",34
"578","Stayed about the same","College_Degree","Male",30
"579","Increased","High_School","Male",3
"580","Increased","College_Degree","Male",3
"581","Stayed about the same","High_School","Male",30
"582","Decreased","High_School","Female",15
"583","Increased","College_Degree","Male",15
"584","Decreased","High_School","Male",45
"585","Decreased","High_School","Male",50
"586","Decreased","High_School","Male",5
"587","Decreased","College_Degree","Male",32
"588","Increased","College_Degree","Male",3
"589","Increased","College_Degree","Male",8
"590","Decreased","College_Degree","Male",30
"591","Decreased","College_Degree","Male",21
"592","Decreased","College_Degree","Male",30
"593","Increased","High_School","Male",4
"594","Stayed about the same","College_Degree","Male",40
"595","Increased","College_Degree","Male",10
"596","Stayed about the same","High_School","Male",35
"597","Decreased","Advanced_Degree","Male",50
"598","Increased","College_Degree","Male",12
"599","Increased","College_Degree","Male",30
"600","Decreased","Advanced_Degree","Male",45
"601","Stayed about the same","High_School","Male",30
"602","Decreased","College_Degree","Male",44
"603","Decreased","Advanced_Degree","Male",10
"604","Stayed about the same","High_School","Male",30
"605","Stayed about the same","High_School","Male",10
"606","Increased","High_School","Male",7
"607","Stayed about the same","College_Degree","Male",50
"608","Stayed about the same","Advanced_Degree","Male",27
"609","Decreased","Advanced_Degree","Male",65
"610","Decreased","College_Degree","Male",45
"611","Increased","College_Degree","Male",30
"612","Increased","College_Degree","Male",8
"613","Stayed about the same","College_Degree","Male",5
"614","Decreased","High_School","Male",60
"615","Decreased","College_Degree","Male",49
"616","Increased","Advanced_Degree","Male",2
"617","Stayed about the same","College_Degree","Male",55
"618","Stayed about the same","Advanced_Degree","Male",52
"619","Decreased","High_School","Male",40
"620","Stayed about the same","High_School","Male",20
"621","Stayed about the same","High_School","Male",45
"622","Increased","Advanced_Degree","Male",51
"623","Increased","High_School","Male",22
"624","Increased","High_School","Male",44
"625","Decreased","High_School","Male",45
"626","Increased","College_Degree","Male",30
"627","Decreased","Advanced_Degree","Male",36
"628","Decreased","High_School","Male",35
"629","Increased","High_School","Male",6
"630","Stayed about the same","High_School","Male",30
"631","Stayed about the same","High_School","Male",16
"632","Stayed about the same","Advanced_Degree","Male",51
"633","Decreased","College_Degree","Male",7
"634","Increased","High_School","Male",10
"635","Stayed about the same","College_Degree","Male",26
"636","Stayed about the same","High_School","Male",3
"637","Decreased","College_Degree","Male",7
"638","Decreased","High_School","Male",41
"639","Stayed about the same","College_Degree","Male",22
"640","Stayed about the same","High_School","Male",30
"641","Stayed about the same","High_School","Male",37
"642","Stayed about the same","College_Degree","Male",3
"643","Increased","College_Degree","Male",16
"644","Increased","High_School","Male",8
"645","Decreased","College_Degree","Male",20
"646","Stayed about the same","High_School","Male",35
"647","Decreased","College_Degree","Male",45
"648","Increased","Advanced_Degree","Male",10
"649","Increased","High_School","Male",8
"650","Stayed about the same","College_Degree","Male",45
"651","Increased","College_Degree","Male",22
"652","Decreased","High_School","Male",36
"653","Decreased","Advanced_Degree","Male",15
"654","Stayed about the same","College_Degree","Male",20
"655","Stayed about the same","College_Degree","Male",45
"656","Increased","High_School","Male",4
"657","Decreased","College_Degree","Male",4
"658","Stayed about the same","High_School","Male",5
"659","Decreased","College_Degree","Male",8
"660","Stayed about the same","High_School","Female",20
"661","Decreased","College_Degree","Male",7
"662","Decreased","High_School","Male",13
"663","Stayed about the same","College_Degree","Male",11
"664","Stayed about the same","College_Degree","Male",3
"665","Increased","College_Degree","Male",10
"666","Stayed about the same","High_School","Male",7
"667","Stayed about the same","High_School","Male",10
"668","Decreased","Advanced_Degree","Male",20
"669","Stayed about the same","High_School","Male",30
"670","Increased","High_School","Male",3
"671","Increased","High_School","Male",9
"672","Decreased","High_School","Male",12
"673","Decreased","High_School","Male",35
"674","Stayed about the same","College_Degree","Male",25
"675","Stayed about the same","College_Degree","Male",31
"676","Decreased","College_Degree","Male",30
"677","Increased","High_School","Male",3
"678","Stayed about the same","High_School","Male",15
"679","Increased","High_School","Male",10
"680","Stayed about the same","High_School","Male",35
"681","Decreased","Advanced_Degree","Male",45
"682","Stayed about the same","Advanced_Degree","Male",5
"683","Decreased","College_Degree","Male",23
"684",NA,"College_Degree","Male",1
"685","Stayed about the same","High_School","Male",50
"686","Increased","High_School","Male",5
"687","Stayed about the same","High_School","Male",30
"688","Stayed about the same","High_School","Male",35
"689","Decreased","High_School","Male",34
"690","Stayed about the same","Advanced_Degree","Male",62
"691","Increased","High_School","Male",2
"692","Decreased","Advanced_Degree","Male",52
"693","Decreased","College_Degree","Male",35
"694","Stayed about the same","Advanced_Degree","Male",8
"695","Increased","College_Degree","Female",14
"696","Stayed about the same","High_School","Male",40
"697","Increased","High_School","Male",4
"698","Decreased","High_School","Male",35
"699","Decreased","Advanced_Degree","Male",5
"700","Decreased","Advanced_Degree","Male",40
"701","Stayed about the same","High_School","Male",20
"702","Decreased","Advanced_Degree","Male",10
"703","Stayed about the same","High_School","Male",5
"704","Decreased","College_Degree","Male",30
"705","Stayed about the same","High_School","Male",30
"706","Stayed about the same","College_Degree","Male",13
"707","Increased","Advanced_Degree","Male",17
